Name,Overall,Balance,Stamina,Strength,HeadingAccuracy,ShortPassing,LongPassing,Dribbling,BallControl,Acceleration,SprintSpeed,Agility,ShotPower,Aggression,Jumping,Vision,Composure,StandingTackle,SlidingTackle
E. Hysaj,81,69.0,87.0,69.0,66.0,77.0,70.0,75.0,77.0,79.0,82.0,76.0,68.0,79.0,69.0,59.0,76.0,81.0,80.0
P. Zieliński,81,76.0,72.0,54.0,52.0,82.0,79.0,84.0,85.0,82.0,84.0,79.0,76.0,56.0,54.0,82.0,75.0,72.0,71.0
Ricardo Pereira,81,77.0,84.0,60.0,64.0,80.0,78.0,83.0,79.0,88.0,87.0,82.0,67.0,75.0,74.0,75.0,81.0,80.0,75.0
Grimaldo,81,86.0,83.0,63.0,65.0,79.0,78.0,83.0,82.0,85.0,83.0,85.0,78.0,68.0,64.0,60.0,77.0,78.0,79.0
R. Guerreiro,81,86.0,72.0,49.0,52.0,84.0,75.0,83.0,84.0,82.0,68.0,88.0,79.0,69.0,63.0,79.0,75.0,70.0,77.0
A. Doucouré,81,69.0,93.0,81.0,66.0,82.0,74.0,78.0,80.0,63.0,70.0,60.0,84.0,78.0,72.0,76.0,74.0,83.0,75.0
J. Martínez,81,90.0,72.0,73.0,77.0,68.0,55.0,75.0,78.0,89.0,92.0,91.0,79.0,66.0,86.0,58.0,75.0,20.0,15.0
C. Bacca,81,77.0,66.0,74.0,75.0,68.0,55.0,80.0,80.0,73.0,75.0,73.0,80.0,58.0,74.0,68.0,78.0,16.0,14.0
A. Plea,81,78.0,82.0,77.0,73.0,76.0,68.0,78.0,79.0,78.0,77.0,79.0,83.0,63.0,75.0,78.0,76.0,40.0,30.0
B. Davies,81,68.0,85.0,69.0,69.0,79.0,70.0,76.0,79.0,76.0,74.0,70.0,65.0,76.0,73.0,75.0,74.0,83.0,82.0
M. Nastasić,81,59.0,62.0,78.0,78.0,73.0,69.0,43.0,65.0,65.0,77.0,65.0,44.0,78.0,81.0,55.0,80.0,83.0,87.0
A. Milik,81,63.0,73.0,78.0,78.0,63.0,62.0,74.0,78.0,69.0,74.0,68.0,85.0,67.0,62.0,60.0,72.0,34.0,32.0
M. Sabitzer,81,79.0,84.0,76.0,56.0,79.0,67.0,79.0,81.0,83.0,77.0,75.0,86.0,70.0,75.0,79.0,75.0,55.0,51.0
B. Mendy,81,70.0,81.0,81.0,65.0,80.0,69.0,80.0,79.0,77.0,86.0,68.0,79.0,75.0,71.0,76.0,79.0,79.0,81.0
C. Kramer,81,54.0,93.0,69.0,58.0,80.0,72.0,71.0,81.0,52.0,52.0,66.0,53.0,78.0,51.0,73.0,78.0,80.0,76.0
S. Vrsaljko,81,72.0,90.0,73.0,73.0,77.0,70.0,74.0,79.0,82.0,79.0,67.0,75.0,75.0,85.0,68.0,67.0,81.0,77.0
T. Hazard,81,83.0,77.0,62.0,38.0,81.0,72.0,85.0,83.0,86.0,77.0,91.0,78.0,57.0,63.0,80.0,76.0,47.0,35.0
K. Bellarabi,81,78.0,73.0,68.0,48.0,78.0,58.0,87.0,83.0,90.0,91.0,86.0,85.0,59.0,75.0,76.0,77.0,30.0,33.0
S. Zaza,81,69.0,76.0,88.0,79.0,71.0,45.0,77.0,79.0,79.0,79.0,76.0,85.0,87.0,89.0,66.0,72.0,42.0,50.0
F. Ghoulam,81,62.0,88.0,68.0,70.0,79.0,74.0,79.0,80.0,71.0,82.0,72.0,80.0,74.0,73.0,69.0,75.0,81.0,80.0
B. Lecomte,81,25.0,34.0,55.0,10.0,17.0,21.0,11.0,23.0,44.0,40.0,36.0,18.0,23.0,62.0,41.0,63.0,11.0,12.0
J. Iličić,81,56.0,64.0,74.0,58.0,82.0,74.0,83.0,87.0,67.0,70.0,70.0,87.0,58.0,33.0,82.0,80.0,32.0,26.0
K. Volland,81,84.0,88.0,82.0,67.0,81.0,67.0,79.0,81.0,78.0,77.0,73.0,85.0,78.0,78.0,81.0,80.0,50.0,33.0
Paco Alcácer,81,84.0,65.0,64.0,77.0,76.0,51.0,78.0,81.0,82.0,80.0,83.0,80.0,59.0,75.0,65.0,82.0,21.0,26.0
Vitolo,81,63.0,80.0,81.0,65.0,79.0,80.0,84.0,83.0,78.0,77.0,74.0,77.0,61.0,70.0,78.0,70.0,21.0,23.0
G. Xhaka,81,61.0,80.0,75.0,62.0,85.0,85.0,70.0,80.0,47.0,49.0,49.0,88.0,92.0,32.0,81.0,74.0,72.0,68.0
D. Tadić,81,80.0,69.0,62.0,63.0,81.0,77.0,85.0,86.0,69.0,68.0,82.0,69.0,56.0,64.0,85.0,82.0,34.0,26.0
C. Aránguiz,81,85.0,87.0,63.0,53.0,84.0,83.0,75.0,82.0,76.0,65.0,80.0,80.0,80.0,61.0,81.0,76.0,71.0,72.0
S. Verdi,81,90.0,75.0,48.0,42.0,82.0,76.0,84.0,86.0,88.0,86.0,92.0,81.0,48.0,51.0,82.0,78.0,48.0,60.0
D. Lovren,81,41.0,68.0,82.0,80.0,69.0,66.0,63.0,67.0,54.0,55.0,50.0,63.0,87.0,81.0,56.0,70.0,83.0,85.0
G. Medel,81,92.0,84.0,83.0,68.0,79.0,78.0,63.0,71.0,72.0,70.0,78.0,65.0,89.0,89.0,72.0,78.0,84.0,79.0
X. Shaqiri,81,91.0,75.0,73.0,45.0,81.0,80.0,86.0,84.0,84.0,77.0,84.0,87.0,61.0,52.0,81.0,82.0,49.0,48.0
J. Corona,81,87.0,74.0,39.0,67.0,76.0,68.0,91.0,84.0,87.0,79.0,90.0,66.0,45.0,72.0,77.0,85.0,40.0,31.0
A. Areola,81,58.0,28.0,80.0,14.0,41.0,32.0,12.0,22.0,54.0,52.0,53.0,25.0,26.0,59.0,34.0,64.0,18.0,12.0
K. Vogt,81,47.0,74.0,85.0,79.0,79.0,83.0,67.0,71.0,66.0,82.0,59.0,78.0,81.0,54.0,67.0,78.0,80.0,78.0
Ander Herrera,81,78.0,87.0,67.0,58.0,83.0,79.0,77.0,82.0,75.0,68.0,79.0,75.0,86.0,61.0,78.0,84.0,80.0,77.0
E. Salvio,81,76.0,85.0,63.0,73.0,75.0,72.0,85.0,84.0,89.0,87.0,83.0,80.0,69.0,87.0,76.0,81.0,60.0,56.0
S. El Shaarawy,81,81.0,68.0,54.0,51.0,74.0,57.0,84.0,86.0,86.0,87.0,85.0,74.0,54.0,60.0,73.0,72.0,30.0,25.0
C. Smalling,81,45.0,71.0,87.0,82.0,63.0,63.0,59.0,58.0,61.0,74.0,55.0,42.0,83.0,76.0,49.0,67.0,82.0,80.0
Hulk,81,59.0,86.0,92.0,69.0,78.0,72.0,82.0,79.0,81.0,80.0,69.0,94.0,83.0,69.0,75.0,75.0,41.0,28.0
S. Kagawa,81,88.0,82.0,39.0,48.0,83.0,72.0,86.0,83.0,74.0,60.0,87.0,54.0,30.0,65.0,80.0,83.0,53.0,49.0
M. Lanzini,81,89.0,73.0,39.0,56.0,80.0,78.0,87.0,86.0,84.0,78.0,86.0,75.0,48.0,75.0,79.0,77.0,36.0,25.0
F. Smolov,81,66.0,74.0,75.0,70.0,77.0,62.0,77.0,78.0,88.0,85.0,75.0,80.0,67.0,67.0,75.0,73.0,28.0,24.0
L. Stindl,81,78.0,78.0,69.0,64.0,85.0,69.0,78.0,83.0,74.0,67.0,70.0,81.0,74.0,73.0,83.0,83.0,61.0,50.0
O. Toprak,81,61.0,67.0,78.0,80.0,75.0,70.0,63.0,71.0,71.0,83.0,64.0,62.0,70.0,80.0,59.0,78.0,83.0,83.0
D. Perotti,81,78.0,73.0,60.0,57.0,81.0,69.0,88.0,88.0,86.0,76.0,83.0,73.0,51.0,64.0,84.0,81.0,31.0,22.0
F. Muslera,81,62.0,45.0,68.0,12.0,44.0,47.0,25.0,23.0,60.0,62.0,68.0,25.0,32.0,84.0,58.0,53.0,16.0,16.0
B. Höwedes,81,61.0,61.0,78.0,83.0,72.0,64.0,59.0,65.0,52.0,52.0,60.0,57.0,78.0,78.0,57.0,84.0,83.0,81.0
S. Kjær,81,58.0,76.0,80.0,82.0,73.0,69.0,46.0,71.0,56.0,65.0,40.0,78.0,75.0,70.0,49.0,69.0,82.0,78.0
S. Bender,81,61.0,83.0,77.0,75.0,74.0,69.0,58.0,60.0,65.0,72.0,63.0,73.0,82.0,73.0,65.0,81.0,86.0,88.0
M. Valbuena,81,92.0,73.0,37.0,48.0,82.0,77.0,83.0,82.0,81.0,79.0,86.0,75.0,52.0,60.0,77.0,64.0,26.0,34.0
Pedro León,81,73.0,65.0,63.0,36.0,83.0,85.0,84.0,85.0,63.0,63.0,68.0,84.0,55.0,39.0,82.0,71.0,46.0,36.0
K. Boateng,81,68.0,68.0,78.0,74.0,82.0,78.0,79.0,84.0,67.0,65.0,77.0,84.0,83.0,76.0,78.0,82.0,78.0,74.0
L. Piszczek,81,66.0,77.0,78.0,74.0,76.0,69.0,72.0,76.0,74.0,83.0,66.0,78.0,83.0,77.0,71.0,82.0,82.0,79.0
A. Candreva,81,76.0,86.0,69.0,55.0,78.0,73.0,82.0,83.0,77.0,78.0,74.0,87.0,66.0,35.0,77.0,73.0,63.0,53.0
D. Wass,81,63.0,90.0,70.0,67.0,82.0,79.0,80.0,81.0,74.0,76.0,79.0,86.0,62.0,59.0,81.0,73.0,74.0,69.0
E. Lamela,81,74.0,78.0,68.0,69.0,83.0,73.0,86.0,84.0,76.0,74.0,75.0,81.0,84.0,63.0,83.0,78.0,51.0,42.0
D. Rose,81,76.0,78.0,72.0,62.0,76.0,66.0,80.0,77.0,79.0,78.0,69.0,68.0,87.0,75.0,73.0,75.0,83.0,84.0
C. Vela,81,81.0,74.0,67.0,70.0,81.0,66.0,83.0,83.0,78.0,80.0,81.0,74.0,57.0,68.0,81.0,80.0,22.0,14.0
Renato Augusto,81,66.0,81.0,76.0,57.0,81.0,81.0,82.0,81.0,66.0,67.0,66.0,81.0,58.0,49.0,81.0,68.0,73.0,64.0
A. Valencia,81,78.0,79.0,79.0,62.0,81.0,72.0,80.0,81.0,82.0,85.0,72.0,85.0,80.0,69.0,71.0,82.0,82.0,79.0
L. Fabiański,81,44.0,25.0,65.0,11.0,20.0,32.0,14.0,22.0,50.0,47.0,52.0,14.0,43.0,68.0,52.0,63.0,12.0,13.0
João Moutinho,81,84.0,78.0,63.0,70.0,83.0,81.0,79.0,82.0,66.0,59.0,76.0,76.0,74.0,77.0,80.0,86.0,72.0,68.0
Borja Valero,81,80.0,69.0,66.0,60.0,89.0,85.0,85.0,88.0,55.0,52.0,74.0,72.0,52.0,67.0,86.0,83.0,66.0,62.0
F. Quagliarella,81,75.0,66.0,76.0,68.0,76.0,73.0,76.0,81.0,73.0,67.0,71.0,87.0,44.0,69.0,77.0,81.0,21.0,15.0
B. Gomis,81,58.0,68.0,83.0,82.0,75.0,46.0,78.0,79.0,69.0,70.0,59.0,84.0,52.0,74.0,69.0,82.0,32.0,35.0
Manuel Fernandes,81,76.0,76.0,71.0,59.0,80.0,80.0,86.0,83.0,83.0,76.0,82.0,81.0,68.0,74.0,81.0,77.0,69.0,68.0
H. Herrera,81,70.0,94.0,73.0,59.0,78.0,75.0,76.0,78.0,71.0,73.0,66.0,81.0,83.0,66.0,77.0,75.0,80.0,67.0
Raffael,81,83.0,62.0,62.0,63.0,83.0,76.0,87.0,85.0,74.0,66.0,83.0,77.0,66.0,70.0,81.0,79.0,42.0,31.0
Nani,81,77.0,74.0,62.0,61.0,79.0,77.0,87.0,86.0,77.0,74.0,92.0,85.0,61.0,37.0,79.0,82.0,22.0,20.0
J. Milner,81,73.0,91.0,71.0,66.0,84.0,81.0,76.0,79.0,63.0,62.0,69.0,82.0,82.0,62.0,79.0,86.0,80.0,79.0
J. Mathieu,81,43.0,78.0,89.0,80.0,73.0,77.0,65.0,62.0,68.0,74.0,52.0,80.0,72.0,65.0,58.0,76.0,84.0,82.0
Joaquín,81,72.0,54.0,64.0,59.0,82.0,83.0,85.0,83.0,69.0,65.0,72.0,74.0,53.0,33.0,84.0,80.0,41.0,39.0
M. Gómez,80,53.0,71.0,80.0,81.0,76.0,58.0,76.0,77.0,61.0,65.0,45.0,79.0,65.0,73.0,60.0,65.0,20.0,23.0
K. Havertz,80,71.0,73.0,61.0,65.0,82.0,73.0,81.0,83.0,77.0,86.0,78.0,66.0,40.0,69.0,83.0,80.0,42.0,38.0
T. Ndombele,80,83.0,78.0,78.0,56.0,82.0,79.0,86.0,84.0,84.0,76.0,83.0,80.0,81.0,63.0,79.0,84.0,73.0,69.0
H. Aouar,80,81.0,79.0,61.0,54.0,84.0,78.0,84.0,82.0,79.0,79.0,81.0,61.0,69.0,61.0,84.0,82.0,64.0,63.0
Carlos Soler,80,70.0,78.0,65.0,56.0,84.0,79.0,79.0,82.0,75.0,77.0,75.0,77.0,49.0,59.0,83.0,76.0,65.0,56.0
Odriozola,80,79.0,80.0,63.0,73.0,77.0,70.0,69.0,77.0,80.0,82.0,78.0,58.0,63.0,71.0,63.0,69.0,79.0,80.0
M. Almirón,80,64.0,85.0,52.0,43.0,79.0,70.0,81.0,79.0,90.0,89.0,86.0,78.0,65.0,46.0,79.0,76.0,53.0,49.0
Welington Dano,80,81.0,89.0,68.0,69.0,78.0,71.0,77.0,78.0,78.0,80.0,83.0,55.0,69.0,71.0,75.0,82.0,77.0,81.0
Everton Andrão,80,77.0,89.0,71.0,59.0,78.0,75.0,75.0,77.0,69.0,68.0,78.0,72.0,81.0,67.0,73.0,68.0,81.0,77.0
Oyarzabal,80,70.0,71.0,59.0,44.0,80.0,73.0,84.0,85.0,72.0,75.0,70.0,73.0,40.0,58.0,79.0,69.0,32.0,30.0
F. Balbuena,80,42.0,76.0,84.0,82.0,71.0,56.0,47.0,56.0,56.0,65.0,42.0,71.0,82.0,73.0,45.0,74.0,82.0,76.0
M. Marega,80,50.0,91.0,90.0,81.0,68.0,52.0,62.0,65.0,87.0,88.0,67.0,86.0,88.0,74.0,65.0,71.0,34.0,28.0
B. Pavard,80,66.0,77.0,74.0,73.0,78.0,80.0,66.0,77.0,69.0,73.0,68.0,60.0,72.0,86.0,66.0,79.0,80.0,81.0
W. Ndidi,80,67.0,92.0,75.0,76.0,74.0,70.0,74.0,75.0,73.0,73.0,67.0,82.0,85.0,90.0,67.0,74.0,84.0,83.0
A. Onana,80,53.0,39.0,67.0,20.0,33.0,26.0,26.0,38.0,64.0,62.0,68.0,21.0,29.0,80.0,62.0,57.0,18.0,14.0
G. Lo Celso,80,81.0,80.0,67.0,59.0,81.0,80.0,81.0,82.0,72.0,75.0,81.0,79.0,65.0,64.0,81.0,79.0,67.0,67.0
M. Acuña,80,86.0,90.0,84.0,63.0,78.0,76.0,85.0,82.0,79.0,75.0,84.0,83.0,88.0,69.0,78.0,86.0,80.0,75.0
Rúben Neves,80,70.0,78.0,70.0,51.0,84.0,85.0,73.0,80.0,64.0,64.0,65.0,83.0,82.0,68.0,83.0,83.0,74.0,69.0
Mariano,80,72.0,81.0,79.0,82.0,69.0,51.0,75.0,72.0,84.0,85.0,79.0,85.0,86.0,92.0,63.0,68.0,40.0,34.0
Raúl,80,52.0,75.0,85.0,86.0,68.0,62.0,56.0,60.0,52.0,51.0,59.0,67.0,88.0,85.0,53.0,75.0,82.0,76.0
M. Caldara,80,59.0,67.0,79.0,82.0,63.0,58.0,62.0,63.0,65.0,69.0,58.0,38.0,76.0,76.0,32.0,74.0,84.0,80.0
M. Vecino,80,56.0,81.0,75.0,75.0,83.0,79.0,84.0,84.0,74.0,69.0,66.0,78.0,72.0,67.0,81.0,81.0,77.0,73.0
T. Bakayoko,80,57.0,83.0,80.0,71.0,78.0,75.0,76.0,77.0,67.0,69.0,64.0,72.0,87.0,76.0,73.0,68.0,84.0,82.0
M. Dahoud,80,84.0,89.0,58.0,43.0,83.0,78.0,85.0,83.0,78.0,67.0,87.0,83.0,68.0,76.0,81.0,60.0,64.0,59.0
Rafa,80,89.0,78.0,40.0,46.0,75.0,64.0,86.0,84.0,91.0,93.0,88.0,75.0,41.0,58.0,75.0,77.0,38.0,31.0
K. Baldé,80,78.0,73.0,76.0,58.0,76.0,64.0,83.0,85.0,92.0,92.0,82.0,78.0,54.0,67.0,72.0,79.0,29.0,28.0
G. Rulli,80,50.0,42.0,73.0,12.0,32.0,23.0,14.0,15.0,54.0,48.0,58.0,24.0,26.0,65.0,58.0,61.0,13.0,17.0
F. Armani,80,34.0,28.0,82.0,19.0,34.0,21.0,19.0,29.0,40.0,40.0,40.0,25.0,35.0,65.0,55.0,48.0,13.0,18.0
Rony Lopes,80,86.0,70.0,56.0,38.0,79.0,72.0,82.0,81.0,83.0,76.0,84.0,76.0,39.0,51.0,77.0,74.0,28.0,27.0
Santi Mina,80,75.0,75.0,73.0,76.0,69.0,65.0,81.0,80.0,77.0,81.0,78.0,78.0,69.0,74.0,65.0,69.0,46.0,49.0
K. Demirbay,80,77.0,74.0,67.0,46.0,82.0,80.0,82.0,84.0,67.0,67.0,77.0,75.0,69.0,72.0,81.0,77.0,59.0,53.0
Gayà,80,83.0,83.0,61.0,52.0,81.0,75.0,77.0,81.0,86.0,87.0,79.0,62.0,73.0,54.0,72.0,67.0,78.0,80.0
André Gomes,80,64.0,76.0,86.0,69.0,82.0,81.0,80.0,78.0,68.0,62.0,67.0,80.0,81.0,58.0,81.0,78.0,75.0,64.0
N. Tagliafico,80,79.0,91.0,63.0,73.0,75.0,67.0,74.0,74.0,85.0,86.0,79.0,66.0,78.0,90.0,68.0,73.0,78.0,78.0
M. Sanson,80,69.0,79.0,76.0,69.0,80.0,84.0,77.0,79.0,77.0,74.0,79.0,79.0,72.0,75.0,82.0,75.0,73.0,76.0
Pacheco,80,51.0,43.0,72.0,10.0,24.0,27.0,13.0,14.0,48.0,42.0,62.0,21.0,27.0,72.0,45.0,59.0,16.0,13.0
E. Can,80,71.0,85.0,83.0,72.0,81.0,80.0,76.0,81.0,69.0,73.0,73.0,81.0,85.0,76.0,79.0,74.0,81.0,80.0
H. Çalhanoğlu,80,77.0,76.0,54.0,53.0,83.0,80.0,85.0,86.0,73.0,69.0,78.0,86.0,57.0,46.0,80.0,78.0,56.0,56.0
M. Ginter,80,49.0,74.0,81.0,85.0,75.0,70.0,62.0,72.0,55.0,69.0,55.0,74.0,69.0,65.0,68.0,71.0,84.0,77.0
M. Keane,80,62.0,68.0,85.0,81.0,71.0,69.0,66.0,69.0,58.0,65.0,59.0,58.0,68.0,82.0,56.0,73.0,82.0,80.0
L. Paredes,80,77.0,79.0,69.0,60.0,84.0,82.0,78.0,82.0,75.0,69.0,77.0,82.0,79.0,61.0,82.0,74.0,75.0,72.0
T. Stepanenko,80,73.0,82.0,76.0,69.0,81.0,77.0,64.0,78.0,71.0,64.0,60.0,75.0,88.0,71.0,69.0,81.0,79.0,77.0
L. Shaw,80,74.0,77.0,75.0,70.0,78.0,68.0,82.0,80.0,83.0,85.0,74.0,65.0,76.0,73.0,69.0,73.0,80.0,78.0
Z. Feddal,80,33.0,64.0,81.0,79.0,76.0,68.0,56.0,67.0,51.0,62.0,50.0,67.0,82.0,73.0,47.0,69.0,83.0,78.0
S. Haller,80,53.0,72.0,91.0,80.0,70.0,35.0,72.0,79.0,68.0,76.0,68.0,77.0,74.0,80.0,72.0,74.0,51.0,46.0
Bernard,80,96.0,68.0,34.0,59.0,76.0,68.0,82.0,84.0,94.0,86.0,94.0,76.0,41.0,61.0,77.0,71.0,39.0,25.0
T. Inui,80,93.0,76.0,51.0,41.0,76.0,70.0,88.0,82.0,88.0,77.0,94.0,72.0,49.0,63.0,74.0,76.0,39.0,31.0
Portu,80,72.0,83.0,71.0,72.0,83.0,78.0,82.0,83.0,85.0,80.0,79.0,77.0,76.0,71.0,77.0,69.0,61.0,59.0
M. Batshuayi,80,76.0,66.0,78.0,75.0,64.0,36.0,78.0,80.0,77.0,76.0,75.0,81.0,63.0,80.0,62.0,81.0,26.0,22.0
E. Zahavi,80,72.0,74.0,68.0,68.0,78.0,69.0,81.0,83.0,73.0,72.0,88.0,79.0,68.0,74.0,81.0,74.0,41.0,34.0
T. Vaclík,80,53.0,35.0,73.0,19.0,17.0,38.0,14.0,20.0,34.0,35.0,32.0,20.0,29.0,70.0,68.0,60.0,18.0,18.0
N. Pope,80,45.0,37.0,73.0,11.0,32.0,35.0,15.0,24.0,50.0,47.0,36.0,17.0,36.0,72.0,43.0,62.0,15.0,14.0
Héctor Bellerín,80,77.0,84.0,58.0,60.0,76.0,59.0,75.0,78.0,94.0,91.0,82.0,52.0,72.0,63.0,66.0,70.0,78.0,80.0
P. Kadeřábek,80,66.0,86.0,79.0,71.0,77.0,69.0,76.0,77.0,78.0,78.0,66.0,66.0,78.0,69.0,68.0,78.0,79.0,76.0
J. Butland,80,50.0,40.0,79.0,12.0,40.0,30.0,21.0,36.0,58.0,55.0,55.0,29.0,40.0,76.0,40.0,62.0,13.0,11.0
J. Vestergaard,80,28.0,54.0,94.0,87.0,67.0,80.0,44.0,54.0,35.0,38.0,29.0,83.0,84.0,33.0,60.0,77.0,83.0,77.0
J. Tarkowski,80,57.0,69.0,81.0,80.0,73.0,72.0,66.0,70.0,55.0,63.0,58.0,63.0,79.0,82.0,66.0,79.0,82.0,80.0
Deulofeu,80,77.0,70.0,54.0,40.0,78.0,62.0,88.0,86.0,89.0,88.0,94.0,72.0,40.0,70.0,76.0,76.0,30.0,22.0
E. Dier,80,38.0,78.0,89.0,82.0,77.0,78.0,65.0,70.0,62.0,68.0,52.0,82.0,91.0,77.0,67.0,77.0,81.0,83.0
J. Murillo,80,72.0,72.0,80.0,76.0,68.0,62.0,58.0,64.0,75.0,76.0,77.0,68.0,88.0,89.0,54.0,73.0,80.0,82.0
M. Badelj,80,64.0,79.0,71.0,66.0,82.0,82.0,72.0,80.0,55.0,56.0,68.0,72.0,76.0,58.0,78.0,72.0,78.0,76.0
Ismaily,80,82.0,88.0,75.0,59.0,81.0,67.0,83.0,81.0,84.0,80.0,72.0,75.0,63.0,59.0,71.0,79.0,74.0,75.0
N. Schulz,80,73.0,79.0,76.0,54.0,78.0,70.0,79.0,78.0,88.0,86.0,76.0,65.0,72.0,60.0,67.0,75.0,76.0,77.0
L. Digne,80,79.0,79.0,69.0,68.0,81.0,69.0,76.0,82.0,76.0,75.0,68.0,77.0,75.0,73.0,72.0,76.0,77.0,82.0
M. Uth,80,67.0,75.0,67.0,69.0,72.0,68.0,78.0,78.0,77.0,76.0,74.0,85.0,61.0,77.0,71.0,76.0,33.0,25.0
Cristian Tello,80,79.0,73.0,58.0,47.0,77.0,70.0,82.0,81.0,92.0,89.0,82.0,78.0,48.0,72.0,74.0,66.0,30.0,26.0
D. Vida,80,63.0,76.0,77.0,79.0,66.0,60.0,53.0,66.0,70.0,80.0,64.0,54.0,83.0,79.0,50.0,75.0,79.0,83.0
L. Muriel,80,80.0,74.0,80.0,65.0,75.0,55.0,85.0,83.0,86.0,89.0,85.0,80.0,50.0,62.0,73.0,75.0,24.0,22.0
V. Aboubakar,80,63.0,83.0,85.0,77.0,75.0,68.0,81.0,80.0,76.0,83.0,72.0,81.0,77.0,78.0,81.0,86.0,23.0,19.0
A. Oxlade-Chamberlain,80,88.0,82.0,72.0,39.0,80.0,75.0,84.0,84.0,84.0,85.0,81.0,80.0,77.0,69.0,81.0,77.0,70.0,66.0
S. Aurier,80,76.0,77.0,74.0,75.0,78.0,72.0,76.0,79.0,79.0,78.0,73.0,71.0,86.0,94.0,71.0,75.0,81.0,82.0
J. Matip,80,47.0,73.0,77.0,82.0,77.0,74.0,65.0,69.0,55.0,69.0,55.0,66.0,75.0,66.0,72.0,75.0,84.0,78.0
Y. Rakitskyi,80,73.0,82.0,84.0,69.0,78.0,84.0,69.0,73.0,69.0,72.0,68.0,87.0,84.0,74.0,75.0,78.0,83.0,81.0
Sergi Enrich,80,67.0,80.0,83.0,81.0,79.0,61.0,76.0,80.0,60.0,65.0,70.0,77.0,66.0,81.0,72.0,69.0,46.0,31.0
A. Yarmolenko,80,67.0,60.0,76.0,69.0,78.0,74.0,86.0,83.0,69.0,76.0,73.0,83.0,76.0,61.0,78.0,74.0,35.0,30.0
Hugo Mallo,80,66.0,91.0,69.0,65.0,71.0,68.0,69.0,80.0,71.0,71.0,77.0,74.0,76.0,82.0,64.0,70.0,81.0,82.0
André Almeida,80,60.0,84.0,78.0,74.0,78.0,75.0,75.0,79.0,65.0,66.0,66.0,70.0,81.0,77.0,69.0,77.0,82.0,79.0
D. Didavi,80,73.0,66.0,76.0,58.0,80.0,75.0,81.0,83.0,70.0,67.0,75.0,88.0,70.0,76.0,74.0,79.0,59.0,49.0
R. Rodríguez,80,70.0,77.0,75.0,64.0,78.0,78.0,76.0,78.0,73.0,73.0,73.0,78.0,75.0,73.0,74.0,80.0,78.0,78.0
R. Pereyra,80,73.0,77.0,63.0,60.0,82.0,75.0,84.0,84.0,75.0,76.0,75.0,68.0,66.0,65.0,80.0,78.0,64.0,70.0
Mario Gaspar,80,60.0,77.0,79.0,65.0,77.0,69.0,73.0,76.0,76.0,80.0,68.0,81.0,78.0,73.0,57.0,69.0,81.0,82.0
Maicon,80,45.0,70.0,90.0,83.0,67.0,75.0,55.0,60.0,52.0,60.0,33.0,85.0,88.0,71.0,52.0,71.0,82.0,76.0
D. Blind,80,75.0,83.0,74.0,72.0,83.0,83.0,73.0,80.0,62.0,53.0,72.0,68.0,72.0,72.0,76.0,81.0,81.0,77.0
J. Zoet,80,42.0,40.0,65.0,19.0,37.0,38.0,15.0,34.0,57.0,45.0,54.0,25.0,18.0,57.0,57.0,61.0,18.0,16.0
A. Ljajić,80,79.0,60.0,58.0,48.0,78.0,71.0,87.0,86.0,82.0,76.0,81.0,76.0,44.0,63.0,78.0,75.0,35.0,35.0
Canales,80,69.0,55.0,56.0,38.0,84.0,70.0,81.0,80.0,67.0,62.0,69.0,71.0,55.0,36.0,82.0,65.0,23.0,16.0
Iago Falqué,80,85.0,74.0,53.0,53.0,82.0,74.0,84.0,85.0,79.0,76.0,85.0,70.0,48.0,36.0,78.0,78.0,36.0,32.0
L. de Jong,80,59.0,83.0,84.0,93.0,76.0,64.0,66.0,76.0,53.0,57.0,58.0,84.0,52.0,81.0,69.0,77.0,43.0,37.0
Guaita,80,48.0,41.0,62.0,20.0,39.0,33.0,16.0,24.0,51.0,52.0,63.0,45.0,24.0,68.0,52.0,62.0,15.0,17.0
Muniain,80,94.0,64.0,46.0,43.0,80.0,67.0,86.0,83.0,83.0,75.0,88.0,61.0,66.0,73.0,77.0,77.0,55.0,34.0
Susaeta,80,74.0,68.0,58.0,52.0,82.0,81.0,85.0,84.0,78.0,71.0,81.0,80.0,68.0,65.0,84.0,79.0,23.0,27.0
S. Rudy,80,75.0,77.0,66.0,59.0,82.0,81.0,78.0,82.0,69.0,65.0,77.0,73.0,58.0,65.0,80.0,80.0,76.0,74.0
K. Trapp,80,37.0,45.0,73.0,11.0,25.0,12.0,10.0,24.0,45.0,52.0,42.0,22.0,30.0,75.0,46.0,62.0,14.0,10.0
V. Wanyama,80,65.0,78.0,92.0,71.0,77.0,70.0,68.0,75.0,54.0,61.0,68.0,79.0,89.0,79.0,64.0,76.0,85.0,77.0
N. Nkoulou,80,78.0,63.0,74.0,77.0,75.0,72.0,68.0,74.0,72.0,72.0,68.0,58.0,76.0,83.0,63.0,77.0,82.0,77.0
R. Boudebouz,80,78.0,68.0,61.0,45.0,81.0,76.0,81.0,80.0,75.0,73.0,78.0,78.0,58.0,61.0,85.0,79.0,35.0,30.0
Camacho,80,63.0,79.0,75.0,83.0,80.0,74.0,64.0,75.0,63.0,55.0,68.0,76.0,85.0,85.0,76.0,76.0,81.0,74.0
